transaction_id,date,province,city,category,store_type,payment_method,sales_amount,quantity,discount_percentage,customer_rating,longitude,latitude
TRX00001,2024-06-19,Provinsi Kalimantan Selatan,Kabupaten Boven Digoel,Electronics,Online,Digital Wallet,123755,2,13.8,3,140.3481835,-5.7400018
TRX00002,2024-01-06,Provinsi Kalimantan Selatan,Kabupaten Ogan Komering Ilir,Electronics,Online,Credit Card,706528,3,19.1,3.9,105.2194808,-3.4559744
TRX00003,2024-07-05,Provinsi Sulawesi Utara,Kabupaten Mamuju Utara,Food & Beverage,Hybrid,Digital Wallet,827058,4,21.7,4.2,119.5107708,-1.5264542
TRX00004,2024-10-24,Provinsi DI Yogyakarta,Kota Kupang,Food & Beverage,Online,Bank Transfer,1522341,3,13.6,4.3,123.5833333,-10.1833333
TRX00005,2024-04-19,Provinsi Maluku,Kabupaten Barito Kuala,Fashion,Online,Bank Transfer,1128519,4,23,4.3,114.6667939,-3.0714738
TRX00006,2024-10-17,Provinsi Maluku Utara,Kabupaten Ogan Komering Ulu Selatan,Fashion,Offline,Digital Wallet,680190,8,13.9,4.3,104.0072348,-4.6681951
TRX00007,2024-08-08,Provinsi Lampung,Kabupaten Rejang Lebong,Electronics,Online,Bank Transfer,1090274,4,14.7,4.9,102.6675575,-3.4548154
TRX00008,2024-08-23,Provinsi DI Yogyakarta,Kabupaten Kepahiang,Fashion,Online,Cash,204811,3,20,5.1,102.578201,-3.651431
TRX00009,2024-01-06,Provinsi Aceh,Kabupaten Tojo Una-Una,Fashion,Online,Bank Transfer,174509,2,49.9,5.1,121.5370003,-1.098757
TRX00010,2024-05-24,Provinsi Kalimantan Timur,KotaTual,Health & Beauty,Offline,Digital Wallet,161919,5,11.7,3.5,132.7475093,-5.640851
TRX00011,2024-03-22,Provinsi Sulawesi Selatan,Kabupaten Aceh Jaya,Fashion,Offline,Credit Card,570957,5,24.7,3.8,95.6457951,4.7873684
TRX00012,2024-03-23,Provinsi Kalimantan Timur,Kabupaten Trenggalek,Electronics,Offline,Cash,1057915,1,17.8,3.6,111.7166667,-8.05
TRX00013,2024-09-04,Provinsi Maluku Utara,Kabupaten Anambas,Food & Beverage,Hybrid,Bank Transfer,1351509,5,29,4,105.6537231,3.1055459
TRX00014,2024-07-07,Provinsi Kalimantan Tengah,Kabupaten Sumbawa Barat,Fashion,Offline,Bank Transfer,2407361,2,19.3,4.4,116.89103420000001,-8.9292907
TRX00015,2024-03-23,Provinsi Bali,Kabupaten Bener Meriah,Electronics,Offline,Cash,758836,1,28.3,4.3,97.0068393,4.7748348
TRX00016,2024-12-05,Provinsi Bengkulu,Kabupaten Buleleng,Fashion,Online,Digital Wallet,480292,4,18.3,4.1,115.126999,-8.113831
TRX00017,2024-05-08,Provinsi Jawa Barat,Kota Bau-Bau,Fashion,Online,Credit Card,281831,3,39.4,4.1,122.633,-5.46667
